DeviceTag: Xsens DOT,FirmwareVersion: 2.2.1,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2024-03-09 12:52:53.574,© Movella Technologies B.V. 2005-2024
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
13268066,-0.4279,-0.4723,0.6576,-0.4016,-0.2921,-0.2779,-0.2129,0
13268233,-0.4255,-0.4722,0.6587,-0.4027,-0.2365,-0.5949,-0.0936,0
13268399,-0.4225,-0.4725,0.6595,-0.4041,-0.4650,-0.7640,-0.0176,0
13268566,-0.4184,-0.4738,0.6604,-0.4054,-0.7001,-1.1518,0.0119,0
13268733,-0.4121,-0.4760,0.6621,-0.4065,-0.6082,-1.0610,0.3601,0
13268899,-0.4057,-0.4784,0.6630,-0.4085,0.0934,-0.3410,0.5321,0
13269066,-0.4008,-0.4807,0.6630,-0.4108,-0.1105,0.3891,0.6103,0
13269233,-0.3991,-0.4818,0.6619,-0.4129,0.1901,0.8012,0.5876,0
13269399,-0.3993,-0.4826,0.6604,-0.4141,0.4035,0.1872,0.5644,0
13269566,-0.3981,-0.4841,0.6602,-0.4139,0.1095,-0.3832,0.6779,0
13269733,-0.3957,-0.4856,0.6610,-0.4131,-0.3318,-0.8110,0.6804,0
13269899,-0.3939,-0.4876,0.6610,-0.4125,-0.5118,-1.0678,0.5003,0
13270066,-0.3934,-0.4905,0.6589,-0.4128,-0.4712,-1.1328,0.2505,0
13270233,-0.3949,-0.4936,0.6545,-0.4149,-0.4851,-0.8379,0.1317,0
13270399,-0.3970,-0.4965,0.6488,-0.4182,-0.1834,-0.7588,0.2262,0
13270566,-0.3997,-0.4988,0.6424,-0.4228,-0.0273,0.1515,0.4524,0
13270733,-0.4039,-0.4998,0.6354,-0.4282,-0.1818,0.5400,0.1251,0
13270899,-0.4100,-0.5000,0.6276,-0.4336,-0.1091,1.1948,-0.2024,0
13271066,-0.4191,-0.4986,0.6180,-0.4403,-0.1767,0.9013,-0.6926,0
13271233,-0.4283,-0.4966,0.6085,-0.4469,-0.2834,0.1791,-0.8518,0
13271399,-0.4346,-0.4947,0.6013,-0.4526,-0.2599,-0.2766,-0.7548,0
13271566,-0.4395,-0.4917,0.5956,-0.4587,-0.4316,0.2307,-0.5260,0
13271733,-0.4466,-0.4854,0.5888,-0.4672,-0.4703,0.1958,-0.7510,0
13271899,-0.4522,-0.4798,0.5826,-0.4753,0.0097,-0.9151,-1.2635,0
13272066,-0.4550,-0.4769,0.5777,-0.4815,-0.0820,-0.0850,-0.5450,0
13272233,-0.4626,-0.4694,0.5685,-0.4923,-0.1039,0.3029,-0.4132,0
13272399,-0.4695,-0.4610,0.5594,-0.5041,-0.0295,-1.2097,-1.1613,0
13272566,-0.4696,-0.4582,0.5555,-0.5109,-0.3331,-0.4080,-0.3363,0
13272733,-0.4704,-0.4530,0.5517,-0.5188,-0.3491,0.4462,0.2313,0
13272899,0.4731,0.4442,-0.5464,0.5294,0.1076,-0.4452,-0.3834,0
13273066,0.4754,0.4364,-0.5405,0.5398,0.4375,0.0268,-0.5132,0
13273233,0.4769,0.4307,-0.5352,0.5483,-0.2052,0.2641,-0.0551,0
13273399,0.4763,0.4269,-0.5327,0.5542,0.0638,-0.2916,0.1703,0
13273566,0.4766,0.4273,-0.5293,0.5569,-0.4565,-0.1751,5.4011,0
13273733,0.4794,0.4248,-0.5248,0.5607,0.2173,0.4377,-0.4855,0
13273899,0.4804,0.4240,-0.5227,0.5623,0.0568,0.8362,0.3917,0
13274066,0.4845,0.4208,-0.5178,0.5658,-0.2483,-0.0725,-0.6327,0
13274233,0.4888,0.4184,-0.5120,0.5691,-0.2518,-0.0859,-0.6750,0
13274399,0.4931,0.4163,-0.5055,0.5728,-0.3251,-0.3999,0.0556,0
13274566,0.4966,0.4142,-0.4995,0.5765,-0.4583,-0.3957,0.4885,0
13274733,0.4995,0.4119,-0.4942,0.5801,-0.2716,-0.2474,0.2069,0
13274899,0.5014,0.4102,-0.4898,0.5834,-0.2670,-0.0191,0.1937,0
13275066,0.5035,0.4080,-0.4855,0.5868,-0.2193,-0.1698,0.0234,0
13275233,0.5057,0.4060,-0.4814,0.5897,-0.3363,0.1654,-0.3981,0
13275399,0.5095,0.4026,-0.4756,0.5934,-0.4467,-0.1837,-0.3455,0
13275566,0.5128,0.3994,-0.4703,0.5970,-0.3173,-0.4500,0.5440,0
13275733,0.5148,0.3965,-0.4666,0.6000,-0.3408,-0.3107,0.6338,0
13275899,0.5159,0.3942,-0.4640,0.6026,-0.1718,-0.3672,-0.0451,0
13276066,0.5164,0.3929,-0.4618,0.6047,-0.1040,-0.1149,-0.2232,0
13276233,0.5167,0.3921,-0.4598,0.6065,-0.1539,-0.5283,-0.1542,0
13276399,0.5168,0.3916,-0.4580,0.6081,-0.1357,-0.0387,-0.0051,0
13276566,0.5175,0.3906,-0.4566,0.6093,-0.0772,0.3872,0.0183,0
13276733,0.5183,0.3897,-0.4557,0.6098,0.0729,0.2321,-0.0290,0
13276899,0.5190,0.3892,-0.4551,0.6099,-0.0244,0.2613,-0.1944,0
13277066,0.5206,0.3879,-0.4539,0.6103,0.0073,0.2850,-0.2387,0
13277233,0.5227,0.3862,-0.4521,0.6110,-0.3777,-0.3051,-0.0997,0
13277399,0.5237,0.3856,-0.4509,0.6113,-0.6097,-1.1461,0.0280,0
13277566,0.5239,0.3859,-0.4501,0.6116,-0.5979,-0.5593,0.0194,0
13277733,0.5243,0.3857,-0.4489,0.6122,-0.5754,0.0619,-0.0626,0
13277899,0.5240,0.3865,-0.4483,0.6124,-0.5609,-1.3864,0.0452,0
13278066,0.5265,0.3820,-0.4415,0.6181,-0.1072,0.9595,-0.3335,0
13278233,0.5293,0.3774,-0.4362,0.6222,-0.2392,0.2554,-0.3293,0
13278399,0.5308,0.3761,-0.4342,0.6232,-0.6610,0.2712,-0.1193,0
13278566,0.5329,0.3737,-0.4319,0.6244,-0.2208,-0.2005,0.3929,0
13278733,0.5344,0.3719,-0.4299,0.6255,-0.1459,-0.3172,-0.0333,0
13278899,0.5354,0.3706,-0.4281,0.6267,-0.1442,-0.4161,-0.1313,0
13279066,0.5361,0.3699,-0.4271,0.6272,-0.2465,0.2526,0.1016,0
13279233,0.5371,0.3687,-0.4258,0.6279,-0.1000,-0.1177,-0.0999,0
13279400,0.5380,0.3680,-0.4245,0.6284,-0.1525,-0.2088,-0.2894,0
13279566,0.5386,0.3680,-0.4235,0.6286,-0.2190,-0.2495,-0.0865,0
13279733,0.5391,0.3679,-0.4228,0.6287,-0.1284,-0.0930,0.2548,0
13279900,0.5394,0.3676,-0.4227,0.6287,-0.1012,-0.1380,0.1987,0
13280066,0.5399,0.3668,-0.4226,0.6288,-0.4005,-0.0920,-0.2392,0
13280233,0.5411,0.3657,-0.4217,0.6290,-0.4607,-0.0805,-0.4980,0
13280400,0.5426,0.3646,-0.4205,0.6291,-0.4527,-0.0612,-0.2608,0
13280566,0.5443,0.3630,-0.4188,0.6297,-0.1943,-0.3193,0.0899,0
13280733,0.5456,0.3617,-0.4174,0.6303,-0.3186,-0.2470,0.0379,0
13280900,0.5462,0.3613,-0.4165,0.6306,-0.3145,-0.3362,-0.0087,0
13281066,0.5458,0.3618,-0.4166,0.6306,-0.4051,-0.4790,0.2569,0
13281233,0.5448,0.3632,-0.4176,0.6300,-0.2869,-0.3520,0.0393,0
13281400,0.5431,0.3652,-0.4191,0.6293,-0.3965,-0.3547,-0.2430,0
13281566,0.5420,0.3668,-0.4199,0.6288,-0.2415,0.0572,-0.3253,0
13281733,0.5417,0.3677,-0.4200,0.6285,-0.1179,0.0317,-0.1322,0
13281900,0.5414,0.3682,-0.4197,0.6286,-0.3331,-0.6603,0.0471,0
