DeviceTag: Xsens DOT,FirmwareVersion: 2.2.1,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2024-04-06 12:30:27.399,© Movella Technologies B.V. 2005-2024
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
5597419,0.5190,-0.3318,0.0371,-0.7869,-3.6282,0.9262,-7.6839,0
5597586,0.5098,-0.3447,0.0371,-0.7874,-4.0917,-0.7503,-7.9884,0
5597752,0.5024,-0.3527,0.0369,-0.7886,-4.5795,-2.0675,-8.1542,0
5597919,0.4970,-0.3576,0.0352,-0.7898,-4.9311,-2.9189,-8.0776,0
5598086,0.4926,-0.3610,0.0308,-0.7912,-5.1335,-3.1055,-7.7925,0
5598252,0.4886,-0.3628,0.0242,-0.7932,-5.0777,-2.5406,-7.6866,0
5598419,0.4846,-0.3624,0.0158,-0.7960,-4.7078,-2.2936,-7.6948,0
5598586,0.4799,-0.3593,0.0073,-0.8003,-4.1949,-2.1063,-7.5394,0
5598752,0.4744,-0.3534,-0.0011,-0.8063,-3.7518,-2.0460,-7.7871,0
5598919,0.4685,-0.3449,-0.0093,-0.8133,-3.3013,-1.7833,-7.4420,0
5599086,0.4625,-0.3343,-0.0176,-0.8210,-2.9599,-1.9680,-6.9655,0
5599252,0.4577,-0.3210,-0.0239,-0.8288,-2.5381,-2.6009,-6.3437,0
5599419,0.4552,-0.3022,-0.0265,-0.8371,-1.9818,-2.9425,-6.6113,0
5599586,0.4552,-0.2778,-0.0274,-0.8455,-0.9192,-2.8886,-6.6373,0
5599752,0.4574,-0.2512,-0.0290,-0.8525,0.0461,-2.4781,-5.1983,0
5599919,0.4599,-0.2244,-0.0334,-0.8585,0.7439,-1.6066,-3.7040,0
5600086,0.4623,-0.1976,-0.0394,-0.8635,1.4566,-0.5224,-1.9161,0
5600252,0.4644,-0.1702,-0.0437,-0.8680,2.3110,-0.0543,-0.4812,0
5600419,0.4671,-0.1429,-0.0455,-0.8714,3.0932,0.7481,1.7347,0
5600586,0.4717,-0.1191,-0.0464,-0.8724,3.1976,1.0501,4.6109,0
5600752,0.4773,-0.0992,-0.0490,-0.8717,2.2679,0.3677,7.9017,0
5600919,0.4826,-0.0829,-0.0496,-0.8705,1.3473,-1.0485,10.6529,0
5601086,0.4877,-0.0700,-0.0467,-0.8690,1.0388,-2.3156,10.6088,0
5601252,0.4935,-0.0611,-0.0422,-0.8666,1.8231,-1.9984,8.2191,0
5601419,0.5002,-0.0569,-0.0422,-0.8630,1.8261,-0.5738,6.8462,0
5601586,0.5073,-0.0554,-0.0478,-0.8587,1.0990,0.5708,6.6543,0
5601752,0.5132,-0.0572,-0.0564,-0.8545,0.3519,1.8124,6.8898,0
5601919,0.5186,-0.0608,-0.0635,-0.8505,-0.2286,2.4500,7.0741,0
5602086,0.5242,-0.0642,-0.0664,-0.8466,-0.2428,2.6669,6.7452,0
5602252,0.5299,-0.0692,-0.0664,-0.8426,-0.2202,2.8018,6.8762,0
5602419,0.5351,-0.0769,-0.0649,-0.8388,-0.0529,2.7565,7.3269,0
